Counc_Dist,Zip,LotNum,SumParcels,OwnerID,Abate_Date,Address,LAT,LNG
3,19104,716,1,Private,7/31/2012,716 WIOTA ST,39.96555723268812,-75.20340227207575
3,19104,716,1,Private,2/14/2013,716 WIOTA ST,39.96555723268812,-75.20340227207575
3,19104,718,1,Private,7/31/2012,718 WIOTA ST,39.96559031879391,-75.20340816991697
3,19104,718,1,Private,2/14/2013,718 WIOTA ST,39.96559031879391,-75.20340816991697
3,19104,720,1,Private,7/31/2012,720 WIOTA ST,39.96562477689137,-75.2034140163329
3,19104,720,1,Private,2/14/2013,720 WIOTA ST,39.96562477689137,-75.2034140163329
3,19104,722,1,Private,7/31/2012,722 WIOTA ST,39.96565919541426,-75.20341807970526
3,19104,722,1,Private,2/14/2013,722 WIOTA ST,39.96565919541426,-75.20341807970526
3,19104,724,1,Private,7/31/2012,724 WIOTA ST,39.96569224194496,-75.20342219451263
3,19104,724,1,Private,2/14/2013,724 WIOTA ST,39.96569224194496,-75.20342219451263
3,19104,726,1,City,7/31/2012,726 WIOTA ST,39.96572670004159,-75.20342804094446
3,19104,726,1,City,2/14/2013,726 WIOTA ST,39.96572670004159,-75.20342804094446
3,19104,728,1,Private,7/31/2012,728 WIOTA ST,39.96576256970391,-75.20343561900371
3,19104,728,1,Private,2/14/2013,728 WIOTA ST,39.96576256970391,-75.20343561900371
3,19104,730,1,City,7/31/2012,730 WIOTA ST,39.96579843936573,-75.20344319707098
3,19104,730,1,City,2/14/2013,730 WIOTA ST,39.96579843936573,-75.20344319707098
3,19104,732,1,City,7/31/2012,732 WIOTA ST,39.96583289746119,-75.2034490435226
3,19104,732,1,City,2/14/2013,732 WIOTA ST,39.96583289746119,-75.2034490435226
3,19104,734,1,Private,7/31/2012,734 WIOTA ST,39.96586739513004,-75.20345667303515
3,19104,734,1,Private,2/14/2013,734 WIOTA ST,39.96586739513004,-75.20345667303515
3,19104,736,1,City,7/31/2012,736 WIOTA ST,39.96590193237187,-75.20346608561134
3,19104,736,1,City,2/14/2013,736 WIOTA ST,39.96590193237187,-75.20346608561134
3,19104,738,1,Private,7/31/2012,738 WIOTA ST,39.96591851499645,-75.20347081761808
3,19104,738,1,Private,2/14/2013,738 WIOTA ST,39.96591851499645,-75.20347081761808
3,19104,3900,1,City,2/12/2013,3900 WYALUSING AVE,39.97242804915323,-75.20153130386065
3,19104,3901,1,Private,7/30/2012,3901 WYALUSING AVE,39.972638874637504,-75.20156444261183
3,19104,3901,1,Private,2/13/2013,3901 WYALUSING AVE,39.972638874637504,-75.20156444261183
3,19104,3902,1,City,2/12/2013,3902 WYALUSING AVE,39.97242367007863,-75.20158144008354
